,Name,url,price,rating,nReviews,ASIN,Manufacturer,description
0,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)  ,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-3,₹598,4.3 out of 5 stars,"10,923", B084JGJ8PF ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ","[' 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.  ', ' Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.  ', ' Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.  ', ' Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks  ', ' 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty  ', ' Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ']"
1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)  ,https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-4,"₹1,199",4.0 out of 5 stars,"54,205", B07CJCGM1M ,Samsonite ,"[' Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No  ', ' Outer Material: Polyester, Color: Black  ', ' Water Resistance: Water resistant , not Waterproof  ', ' Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters  ', ' Number of Wheels: 0, Number of compartments: 3  ', ' Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of  ', ' Mesh pockets on both sides to accommodate your sipper or bottle and umbrella  ', ' Mesh Padding on back & shoulder strap to provide comfort & better back support  ']"
2,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2)  ,https://amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_14_trfob_0_B08WWG91Q3?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹448,4.0 out of 5 stars,4, B08WWG91Q3 ,24 months and up ,"[' DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm.  ', ' DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.  ', ' PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.  ', "" USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.  "", ' GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.  ']"
3,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow)  ,https://amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_14_trfob_2_B09H3H3898?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹298,4.1 out of 5 stars,83, B09H3H3898 ,Vancouver Store ,"[' ?DIMENSION:15x3.5x12inch/38x8x30cm(WxDxH).Weight:0.32kg/0.7lb. Front Pocket:12x9inch/30x23cm(WxH) Soft adjustable & breathable shoulder straps:8inch-20.8inch/20cm-53cm. <br>  ', ' ? CUTE DESIGN:Made of super soft plush material and high quality smooth zipper accessories. Small backpack suitable for toddler baby kids girl and boy between 1-6 years old. <br>  ', ' ? SPACIOUS:The toddler backpack presents a main compartment with cotton interior, which is large capacity and long-lasting. Perfectly for keeping and organizing books, toys, pencils and snacks, etc. With the matching pullers and smooth zippers, children could open and close the backpack easily. The front pocket is for keeping the small stuffs easy to reach. <br>  ', ' ? Material:Non-Toxic And Soft Fabric good quality and Washable Soft And Cuddly Filling, Made By India And Embroidery Bag; ? Great Gift:Cute and Cool animal toddler school backpacks, Great Gift for kids with Lovely animal attractive design, Perfect for children going out for travel, preschool and Daycare center. <br>  ', ' Closure Type: Buckle <br>  ']"
4,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag)  ,https://amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7/ref=sxin_14_trfob_3_B07XJHP2C7?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07XJHP2C7&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹298,4.1 out of 5 stars,"1,519", B07XJHP2C7 ,12 months and up ,"[' Non-Toxic and Soft Fabric Made from Safe Materials to be used by Kids.; Soft And Cuddly Filling Printed work<br> <br>  ', ' Premium quality light Weight MINIONS bag especially for Kindergarten boys and girls baby. Suitable for 2 to 5 Years Kids.<br> <br>  ', "" Adjustable strap and enough space for children's things like toys, lunch box, fruits, small books, pencil box and other stationery items<br> <br>  "", ' Very Attractive To Make You Have A Good Feeling All The Time, Gift this soft, smooth and cuddly teddy as a great gift to your loved one<br>; Closure Type: Zipper; Special Features: Lightweight <br>  ', ' Water Resistance Level: Water Resistant <br>  ']"
5,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2)  ,https://amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF/ref=sxin_14_trfob_5_B08WWTHLTF?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWTHLTF&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹415,5.0 out of 5 stars,1, B08WWTHLTF ,24 months and up ,"[' DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm.  ', ' DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.  ', ' PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.  ', "" USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.  "", ' GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.  ']"
6,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Combo Mini Travel Bag for for Girls Boys Toddler Baby (Spiderman & Recon)  ,https://amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B08YP5HQVP/ref=sxin_14_trfob_7_B08YP5HQVP?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YP5HQVP&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹415,5.0 out of 5 stars,1, B08YP5HQVP ,24 months and up ,"[' DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm.  ', ' DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.  ', ' PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.  ', "" USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.  "", ' GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.  ']"
7,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black)  ,https://amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-19,"₹1,099",4.3 out of 5 stars,"5,589","
                ‎24 months and up ",Gear Merchandise PVT LTD ,"[' Outer Material: Polyester, Color: Black  ', ' Water Resistance: Water resistant  ', ' Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2  ', ' Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,  ', ' Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks  ']"
8,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps  ",https://amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-21,₹649,4.4 out of 5 stars,"3,042", B08R7RPVJF ,"Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India ","[' Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort  ', ' Smooth zippers that never jam or break  ', ' Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use  ', "" Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials  ""]"
9,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black  ",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-24,₹598,4.3 out of 5 stars,"10,923", B085S444JV ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ","[' 30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.  ', ' Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch  ', ' Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.  ', ' Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks  ', ' 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty  ', ' Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ']"
10,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack  ,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-33,₹497,4.3 out of 5 stars,"12,761", B07PLKV6D1 ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ","[' Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex  ', ' Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps  ', ' Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks  ', ' Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket  ', ' Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ']"
11,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue  ",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-39,₹425,4.3 out of 5 stars,"12,761", B07K8KLB3P ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ","[' Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex  ', ' Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps  ', ' Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks  ', ' Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket  ', ' Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ']"
12,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)  ",https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-49,₹398,4.1 out of 5 stars,"8,997", B088XH1BP7 ,"Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka ","[' Made of multi-coated 600D polyester Material ; Water Repellent  ', ' Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ', ' Small Size backpack; Laptop Compatibility: No  ', ' This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ', ' With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ', ' 6 months limited warranty  ']"
13,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)  ",https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-51,₹398,4.1 out of 5 stars,"8,997", B088XB5XY8 ,"Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka ","[' Made of multi-coated 600D polyester Material ; Water Repellent  ', ' Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ', ' Small Size backpack; Laptop Compatibility: No  ', ' This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ', ' With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ', ' 6 months limited warranty  ']"
14,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit  ,https://amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-53,₹409,4.2 out of 5 stars,"3,290", B071KNXQ7Y ,Freewill Sports Private Limited ,"[' Highly water-resistant finish to save inner items from water splashes  ', ' Adjustable shoulder strap  ', ' Top grab handle  ', ' Optimum quality of accessories and zipper for smoother functioning and high durability  ', ' Durable zippers and enhanced by strong stitching at major stress points provide long-lasting durability against daily activities  ']"
15,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel  ,https://amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-58,₹269,4.0 out of 5 stars,"3,447", B07FWQ9HRV ,Freewill Sports Private Limited ,"[' Strong stitching at major stress points provide long-lasting durability against daily activities  ', ' Adjustable shoulder strap  ', ' Main large compartment with double zip closure  ', ' High quality double zippers, easy to access  ', ' Highly water-resistant finish to save inner items from water splashes  ']"
